time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,7.6,6.3,9.2,11.2,0.0,219.0,25.5,61.6,1003.8,18.0
2024-01-02,9.9,6.9,12.3,14.4,0.0,204.0,27.9,75.2,992.8,0.0
2024-01-03,9.3,7.7,11.7,12.5,0.0,235.0,29.5,69.1,990.5,18.0
2024-01-04,7.6,6.3,8.8,5.9,0.0,240.0,20.2,40.7,1001.4,24.0
2024-01-05,7.5,6.0,9.1,2.6,0.0,196.0,23.4,61.2,999.1,0.0
2024-01-06,3.3,1.5,6.3,0.6,0.0,325.0,12.3,24.8,1009.1,0.0
2024-01-07,0.3,-1.4,1.9,0.0,0.0,34.0,18.7,45.7,1022.8,0.0
2024-01-08,-2.2,-4.3,-0.6,0.0,0.0,50.0,21.7,51.1,1031.1,258.0
2024-01-09,-3.4,-6.0,0.2,0.0,0.0,59.0,19.3,35.6,1033.0,432.0
2024-01-10,-3.0,-5.4,1.2,0.0,0.0,66.0,13.4,24.1,1030.5,276.0
2024-01-11,-2.8,-6.6,1.0,0.0,0.0,16.0,8.1,18.4,1033.5,432.0
2024-01-12,0.6,-0.7,1.7,0.0,10.0,253.0,6.6,13.0,1032.8,0.0
2024-01-13,1.9,1.1,2.7,0.2,0.0,245.0,15.8,37.1,1023.3,0.0
2024-01-14,1.0,0.4,1.4,1.0,0.0,242.0,21.5,37.1,1010.4,0.0
2024-01-15,1.0,0.2,2.6,1.4,20.0,263.0,21.0,43.9,1003.2,0.0
2024-01-16,0.3,-1.8,2.4,0.0,50.0,226.0,15.6,35.3,1008.6,270.0
2024-01-17,-1.1,-2.5,0.3,0.0,40.0,130.0,9.7,29.5,994.3,0.0
2024-01-18,-0.2,-2.7,3.9,0.0,70.0,307.0,8.9,20.5,1000.7,354.0
2024-01-19,-0.8,-3.2,1.9,0.3,60.0,222.0,14.3,29.5,1019.5,138.0
2024-01-20,-0.7,-2.8,1.9,0.0,60.0,197.0,16.6,42.1,1028.6,408.0
2024-01-21,3.2,0.7,7.0,0.8,60.0,191.0,26.8,54.4,1021.2,0.0
2024-01-22,9.4,6.9,12.3,1.4,0.0,229.0,32.9,85.3,1010.6,84.0
2024-01-23,7.9,4.9,12.2,2.8,0.0,233.0,25.7,58.7,1021.5,216.0
2024-01-24,11.1,8.0,13.7,0.0,0.0,252.0,31.7,83.2,1020.2,36.0
2024-01-25,7.0,2.5,9.1,1.0,0.0,222.0,13.3,27.7,1028.1,78.0
2024-01-26,8.3,2.3,11.4,4.0,0.0,248.0,22.1,76.7,1025.1,78.0
2024-01-27,3.8,0.9,8.6,0.0,0.0,209.0,11.3,27.7,1035.7,444.0
2024-01-28,7.1,1.9,12.1,0.0,0.0,167.0,19.2,52.6,1029.7,480.0
2024-01-29,9.3,6.5,11.9,0.0,0.0,183.0,15.4,41.4,1027.3,330.0
2024-01-30,9.4,6.6,12.1,0.4,0.0,214.0,17.2,40.7,1028.3,6.0
2024-01-31,6.4,5.2,7.8,2.7,0.0,230.0,14.2,38.9,1031.9,0.0
2024-02-01,6.3,2.5,9.4,0.1,0.0,271.0,15.4,40.7,1029.3,372.0
2024-02-02,6.7,4.3,9.0,0.1,0.0,238.0,20.0,42.5,1029.0,138.0
2024-02-03,9.8,8.8,10.6,4.3,0.0,249.0,21.2,37.8,1025.5,0.0
2024-02-04,10.5,9.8,11.2,4.0,0.0,254.0,26.2,54.4,1021.9,0.0
2024-02-05,10.0,7.9,11.2,0.0,0.0,242.0,28.0,60.5,1019.1,72.0
2024-02-06,10.3,8.7,11.8,17.1,0.0,233.0,30.3,76.0,1010.8,0.0
2024-02-07,5.1,1.8,10.7,1.1,0.0,168.0,12.5,63.7,1005.1,0.0
2024-02-08,4.7,1.8,10.8,20.6,0.0,83.0,12.7,40.7,998.5,0.0
2024-02-09,11.5,10.0,13.1,3.9,0.0,187.0,19.2,48.6,986.5,0.0
2024-02-10,11.3,9.4,13.8,1.0,0.0,135.0,11.7,33.5,987.2,192.0
2024-02-11,9.4,7.4,11.0,0.8,0.0,201.0,13.1,47.5,990.4,0.0
2024-02-12,7.3,2.7,10.5,0.0,0.0,245.0,12.9,35.3,1004.1,126.0
2024-02-13,6.6,2.6,10.4,0.3,0.0,209.0,15.5,45.7,1016.8,372.0
2024-02-14,10.8,7.9,12.6,4.3,0.0,214.0,21.7,44.3,1016.4,0.0
2024-02-15,13.5,11.9,16.6,2.6,0.0,181.0,17.9,39.6,1015.1,120.0
2024-02-16,12.8,9.0,15.0,0.3,0.0,220.0,18.3,44.3,1014.3,0.0
2024-02-17,10.2,8.6,11.8,0.0,0.0,241.0,10.6,23.4,1030.0,0.0
2024-02-18,9.4,8.0,10.7,7.3,0.0,204.0,21.9,51.8,1026.3,0.0
2024-02-19,9.2,6.9,11.4,1.4,0.0,267.0,19.0,44.3,1025.9,0.0
2024-02-20,8.0,4.9,11.3,0.1,0.0,240.0,16.6,40.0,1027.1,48.0
2024-02-21,9.2,8.1,11.4,10.5,0.0,208.0,22.3,46.4,1014.7,12.0
2024-02-22,10.4,5.2,13.6,12.7,0.0,203.0,25.5,87.1,989.9,6.0
2024-02-23,6.8,5.0,9.1,0.1,0.0,206.0,25.1,61.2,991.8,48.0
2024-02-24,6.2,4.6,7.7,2.4,0.0,190.0,17.9,47.5,999.0,102.0
2024-02-25,7.1,5.2,10.4,2.0,0.0,171.0,17.3,45.0,1001.1,90.0
2024-02-26,5.8,4.6,6.8,4.4,0.0,53.0,19.3,40.7,1004.1,0.0
2024-02-27,4.6,-0.5,8.4,0.0,0.0,25.0,14.0,31.0,1017.0,312.0
2024-02-28,4.5,-0.7,8.9,0.0,0.0,197.0,10.3,25.9,1020.9,156.0
2024-02-29,8.3,5.0,11.4,0.0,0.0,173.0,19.0,41.4,1011.3,120.0
2024-03-01,9.2,6.9,11.4,0.0,0.0,179.0,21.1,48.6,1002.7,246.0
2024-03-02,11.0,6.2,13.9,0.0,0.0,154.0,19.7,45.0,1001.2,294.0
2024-03-03,12.3,7.1,17.6,0.0,0.0,83.0,10.8,37.8,1001.0,420.0
2024-03-04,8.3,7.0,9.9,0.0,0.0,314.0,11.2,31.0,1010.3,6.0
2024-03-05,7.5,3.5,9.5,2.1,0.0,190.0,6.6,18.4,1014.4,0.0
2024-03-06,6.5,0.8,12.0,0.0,0.0,121.0,6.0,25.2,1022.3,210.0
2024-03-07,5.9,2.3,9.9,0.0,0.0,74.0,15.1,37.1,1023.5,342.0
2024-03-08,6.3,0.9,12.3,0.0,0.0,86.0,18.2,55.1,1013.5,630.0
2024-03-09,9.1,3.7,16.1,0.0,0.0,94.0,14.1,41.4,1003.0,468.0
2024-03-10,10.1,6.6,14.5,8.8,0.0,71.0,17.6,35.3,996.8,222.0
2024-03-11,7.9,7.2,9.8,7.4,0.0,233.0,12.1,29.5,1001.3,0.0
